Name,Person_ID
Hande Erçel,1522703
Alexandra Daddario,109513
Timothée Chalamet,1190668
Anya Taylor-Joy,1397778
Jason Statham,976
Scarlett Johansson,1245
Sydney Sweeney,115440
Zhao Lusi,2049994
Tom Cruise,500
Gary Oldman,64
Sophie Thatcher,1981044
Gabriel Guevara,2786960
Jenna Ortega,974169
Elizabeth Berkley,19189
Cho Yeo-jeong,556435
Sabrina Carpenter,1152083
Cha Woo-min,3186373
Christine Bermas,3371804
Robert Downey Jr.,3223
Keanu Reeves,6384
Nicole Wallace,2527414
Emma Watson,10990
Pedro Pascal,1253360
Atsuko Takahata,90570
Dyessa Garcia,4095744
Yoon Yool,3164807
Miles Teller,996701
Kim Kardashian,212225
Ana de Armas,224513
Julia Victoria,3775928
Angelica Hart,4095689
Arya Mohan,4578924
Yoo Ji-hyun,3424435
Anne Hathaway,1813
Chris Hemsworth,74568
Joo Ye-bin,4845074
Shinobu Terajima,83527
Yu Aoi,84028
Theo James,587020
Katheryn Winnick,26723
Justin Baldoni,88675
Kevin Bacon,4724
Miho Nomoto,550627
Tom Hanks,31
Tom Holland,1136406
Vin Diesel,12835
Mel Gibson,2461
Gal Gadot,90633
Sena Natsuki,2657490
Dwayne Johnson,18918
Alan Ritchson,64295
Lee Soo,1814297
Tom Hardy,2524
Leonardo DiCaprio,6193
Henry Cavill,73968
Joe Anders,2850902
Aaron Pierre,1763709
Anthony Mackie,53650
Carla Tous,2610316
Andrew Garfield,37625
Burak Özçivit,1424928
Ali Larter,17303
Brad Pitt,287
Margaret Qualley,1392137
Kevin Hart,55638
Chen Zheyuan,2439184
Rika,3165040
Eddie Murphy,776
Kevin Costner,1269
Robert Pattinson,11288
Samuel L. Jackson,2231
Kaylah Zander,2251466
Ji Chang-wook,1253391
Natalie Portman,524
Mikey Madison,1640439
Han Yi-seul,2590519
Min Do-yoon,1907997
Rebecca Ferguson,933238
Ryan Reynolds,10859
Chris Evans,16828
Deniz Can Aktaş,1584434
Kim Do-hee,1974009
Jackie Chan,18897
Will Smith,2888
Robert De Niro,380
Yen Renee Durano,3775927
Kelly Reilly,17521
Jackie Sandler,60959
Han Seo-ah,2374721
Millie Bobby Brown,1356210
Jin Si-ah,2112856
Amanda Seyfried,71070
Piper Perabo,15555
Margot Robbie,234352
Hee-jeong,3010184
Choi Seung-hyun,80981
Yang Mi,572043
Harrison Ford,3
Dai Gaozheng,3693678
Michael B. Jordan,135651
Charlotte McKinney,1514065
Zhao Liying,1260868
Yvonne Yung Hung,122822
Sylvester Stallone,16483
Jennifer Connelly,6161
Samantha Coughlan,1321622
Lou Goossens,3724154
Ralph Fiennes,5469
Felicity Jones,72855
Han Mo,2368846
Jean-Claude Van Damme,15111
Megan Fox,19537
Chung Su-bin,2400820
Nicole Kidman,2227
Benedict Cumberbatch,71580
Adam Sandler,19292
TJ Bhanu,2523390
Park Bo-young,83036
Michele Morrone,2349355
Cecilia Cheung,20652
Cemre Baysel,2065258
Jackson Yee,2223265
Nijiro Murakami,1310719
Cillian Murphy,2037
George Clooney,1461
Dylan Wang,2050456
Angelina Jolie,11701
Wang Tianchen,1815239
James Marsden,11006
White Sugar,4450888
Adrien Brody,3490
Nicolas Cage,2963
Uma Thurman,139
Matthew Broome,3912097
Edison Chen,20372
Audrey Avila,3937164
Saori Hayami,221773
Jake Gyllenhaal,131
Aubrey Plaza,119592
Mark Wahlberg,13240
Dakota Johnson,118545
Bill Skarsgård,137905
Johnny Depp,85
Matt Damon,1892
Steve Zahn,18324
Ayaka Miyoshi,1195939
Rowan Atkinson,10730
Zoe Moore,1093312
Choi Hyun-wook,3126573
Morgan Freeman,192
Travis Fimmel,77700
Russell Crowe,934
Eddie Redmayne,37632
Gong Yoo,150903
Jim Carrey,206
Charlize Theron,6885
Oprah Winfrey,13309
Cha Eun-woo,1604826
Baek Se-ri,1333252
Yvonne Strahovski,63312
Ji Eun-seo,4857254
Mads Mikkelsen,1019
Bo Derek,37995
Yang Zi,1696482
Monica Bellucci,28782
Joey King,125025
Ryan Gosling,30614
Deepika Padukone,53975
Florence Pugh,1373737
Nicholas Hoult,3292
Eva Green,10912
Apple Dy,4012042
Sandra Bullock,18277
Zhang Ruonan,2174697
Jon Beavers,1175676
Matilda Källström,3126002
Jason Momoa,117642
Kim Soo-ji,4857772
Emma Stone,54693
Roh Jae-won,2688877
Jakrapatr Kaewpanpong,4672537
Yeung Si-min,1260846
Morena Baccarin,54882
Dina Meyer,2133
Sarah Shahi,164945
Dawn Olivieri,92614
Jack Quaid,1030513
Austin Butler,86654
Kang Eun-hye,1468490
Aaron Taylor-Johnson,27428
Yoo Ji-won,1883366
Shuya Sophia Cai,1704579
Rowoon,1613836
Tanner Buchanan,1130555
Alyvia Alyn Lind,1274510
Claire Forlani,4174
Leya Kırşan,1954014
Yui Aragaki,231364
Jacob Elordi,2034418
Elisha Cuthbert,25837
