Person ID,Name,Freebase ID
1,George Lucas,/en/george_lucas
2,Mark Hamill,/en/mark_hamill
3,Harrison Ford,/en/harrison_ford
4,Carrie Fisher,/en/carrie_fisher
5,Peter Cushing,/en/peter_cushing
6,Anthony Daniels,/en/anthony_daniels
7,Andrew Stanton,
8,Lee Unkrich,
9,Graham Walters,
10,Bob Peterson,
11,David Reynolds,
12,Alexander Gould,/en/alexander_gould
13,Albert Brooks,/en/albert_brooks
14,Ellen DeGeneres,/en/ellen_degeneres
18,Brad Garrett,/en/brad_garrett
19,Allison Janney,/en/allison_janney
20,Elizabeth Perkins,/en/elizabeth_perkins
22,Barry Humphries,/en/barry_humphries
23,Bill Hunter,/en/bill_hunter_1940
24,Robert Zemeckis,/en/robert_zemeckis
26,Winston Groom,
27,Eric Roth,/en/eric_roth
28,Wendy Finerman,
29,Steve Tisch,/en/steve_tisch
30,Steve Starkey,
31,Tom Hanks,/en/tom_hanks
32,Robin Wright,/en/robin_wright_penn
33,Gary Sinise,/en/gary_sinise
34,Mykelti Williamson,/en/mykelti_williamson
35,Sally Field,/en/sally_field
36,Don Burgess,
37,Alan Silvestri,
38,Arthur Schmidt,
39,Sam Mendes,/en/sam_mendes
40,Orson Welles,/en/orson_welles
42,Lars von Trier,/en/lars_von_trier
43,John Fawcett,/en/john_fawcett_1968
44,Simon Maginn,
45,Stephen Massicotte,
47,Björk,/en/bjork
48,Sean Bean,/en/sean_bean
49,Maria Bello,
50,Catherine Deneuve,/en/catherine_deneuve
51,Richard Elfyn,
52,David Morse,/en/david_morse_1953
53,Peter Stormare,/en/peter_stormare
54,Maurice Roëves,/en/maurice_roeves
55,Abigail Stone,
56,Sophie Stuckey,
59,Luc Besson,/en/luc_besson
60,Patrice Ledoux,
61,Robert Mark Kamen,
62,Bruce Willis,/en/bruce_willis
63,Milla Jovovich,/en/milla_jovovich
64,Gary Oldman,/en/gary_oldman
65,Ian Holm,/en/ian_holm
66,Chris Tucker,/en/chris_tucker
67,Erich Pommer,
68,Fritz Lang,
69,Gottfried Huppertz,
70,Karl Freund,
71,Günther Rittau,
73,Alfred Abel,
74,Gustav Fröhlich,
75,Brigitte Helm,
77,Rudolf Klein-Rogge,
78,Fritz Rasp,
79,Theodor Loos,
80,Erwin Biswanger,
81,Heinrich George,
82,Olaf Storm,
83,Hanns Leo Reich,
85,Johnny Depp,/en/johnny_depp
86,Bruce Brown,
90,Isabel Coixet,
92,Robert August,
93,Esther García,
95,Gaston Georis,
96,Gordon McLennan,
97,Nanci Kincaid,
98,Sarah Polley,/en/sarah_polley
99,Amanda Plummer,/en/amanda_plummer
100,Scott Speedman,/en/scott_speedman
101,Leonor Watling,
102,Debbie Harry,/en/debbie_harry
103,Mark Ruffalo,/en/mark_ruffalo
104,Jean-Claude Larrieu,
105,Lisa Robison,
106,Alfonso Vilallonga,
108,Peter Jackson,/en/peter_jackson
109,Elijah Wood,/en/elijah_wood
110,Viggo Mortensen,/en/viggo_mortensen
112,Cate Blanchett,/en/cate_blanchett
113,Christopher Lee,/en/christopher_lee
114,Orlando Bloom,/en/orlando_bloom
116,Keira Knightley,/en/keira_knightley
117,Howard Shore,
118,Geoffrey Rush,/en/geoffrey_rush
120,Dariusz Wolski,
122,Klaus Badelt,
123,Barrie M. Osborne,
126,Fran Walsh,
128,Philippa Boyens,
129,J. R. R. Tolkien,
130,Kenny Baker,/en/kenny_baker
131,Jake Gyllenhaal,/en/jake_gyllenhaal
132,Scott MacDonald,
